"general","specific","class","api_name"
"execution","scheduler","NodeSchedulerConfig","com.facebook.presto.execution.scheduler.NodeSchedulerConfig"
"execution","warnings","WarningCollectorConfig","com.facebook.presto.execution.warnings.WarningCollectorConfig"
"execution","warnings","WarningHandlingLevel","com.facebook.presto.execution.warnings.WarningHandlingLevel"
"internal","matchers","NotNull","org.mockito.internal.matchers.NotNull"
"internal","matchers","Null","org.mockito.internal.matchers.Null"
"internal","matchers","Same","org.mockito.internal.matchers.Same"
"internal","matchers","StartsWith","org.mockito.internal.matchers.StartsWith"
"internal","matchers","ReflectionEquals","org.mockito.internal.matchers.apachecommons.ReflectionEquals"
"internal","util","Primitives","org.mockito.internal.util.Primitives"
"internal","stubbing","CallsRealMethods","org.mockito.internal.stubbing.answers.CallsRealMethods"
"internal","stubbing","GloballyConfiguredAnswer","org.mockito.internal.stubbing.defaultanswers.GloballyConfiguredAnswer"
"internal","stubbing","ReturnsDeepStubs","org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs"
"internal","stubbing","ReturnsMocks","org.mockito.internal.stubbing.defaultanswers.ReturnsMocks"
"internal","stubbing","ReturnsSmartNulls","org.mockito.internal.stubbing.defaultanswers.ReturnsSmartNulls"
"internal","stubbing","TriesToReturnSelf","org.mockito.internal.stubbing.defaultanswers.TriesToReturnSelf"
"memory","memory","MemoryManagerConfig","com.facebook.presto.memory.MemoryManagerConfig"
"undefined","undefined","PagesIndexPageSorter","com.facebook.presto.PagesIndexPageSorter"
"Mockito","Mockito","Mockito","org.mockito.Mockito.doThrow"
"SystemSessionProperties","SystemSessionProperties","SystemSessionProperties","com.facebook.presto.SystemSessionProperties.isLegacyMapSubscript"
"SystemSessionProperties","SystemSessionProperties","SystemSessionProperties","com.facebook.presto.SystemSessionProperties.isLegacyRowFieldOrdinalAccessEnabled"
"SystemSessionProperties","SystemSessionProperties","SystemSessionProperties","com.facebook.presto.SystemSessionProperties.isLegacyTimestamp"
"SystemSessionProperties","SystemSessionProperties","SystemSessionProperties","com.facebook.presto.SystemSessionProperties.isLegacyTypeCoercionWarningEnabled"
"SystemSessionProperties","SystemSessionProperties","SystemSessionProperties","com.facebook.presto.SystemSessionProperties.isParseDecimalLiteralsAsDouble"
"array","array","AdaptiveLongBigArray","com.facebook.presto.array.AdaptiveLongBigArray"
"block","BlockAssertions","Encoding","com.facebook.presto.block.BlockAssertions.Encoding"
"block","BlockAssertions","DICTIONARY","com.facebook.presto.block.BlockAssertions.Encoding.DICTIONARY"
"block","BlockAssertions","RUN_LENGTH","com.facebook.presto.block.BlockAssertions.Encoding.RUN_LENGTH"
"block","BlockAssertions","BlockAssertions","com.facebook.presto.block.BlockAssertions.assertBlockEquals"
"block","BlockAssertions","BlockAssertions","com.facebook.presto.block.BlockAssertions.createAllNullsBlock"
"block","BlockAssertions","BlockAssertions","com.facebook.presto.block.BlockAssertions.createRandomBlockForType"
"cost","cost","StatsNormalizer","com.facebook.presto.cost.StatsNormalizer"
"internal","stubbing","AnswerFunctionalInterfaces","org.mockito.internal.stubbing.answers.AnswerFunctionalInterfaces.toAnswer"
"internal","stubbing","AnswersWithDelay","org.mockito.internal.stubbing.answers.AnswersWithDelay"
"internal","stubbing","ReturnsArgumentAt","org.mockito.internal.stubbing.answers.ReturnsArgumentAt"
"internal","stubbing","ReturnsElementsOf","org.mockito.internal.stubbing.answers.ReturnsElementsOf"
"internal","stubbing","ForwardsInvocations","org.mockito.internal.stubbing.defaultanswers.ForwardsInvocations"
"internal","verification","VerificationModeFactory","org.mockito.internal.verification.VerificationModeFactory.noMoreInteractions"
"internal","invocation","VerifiableInvocationsFinder","org.mockito.internal.invocation.finder.VerifiableInvocationsFinder"
"internal","listeners","VerificationStartedNotifier","org.mockito.internal.listeners.VerificationStartedNotifier"
"internal","progress","MockingProgress","org.mockito.internal.progress.MockingProgress"
"internal","stubbing","DefaultLenientStubber","org.mockito.internal.stubbing.DefaultLenientStubber"
"internal","stubbing","InvocationContainerImpl","org.mockito.internal.stubbing.InvocationContainerImpl"
"internal","stubbing","OngoingStubbingImpl","org.mockito.internal.stubbing.OngoingStubbingImpl"
"internal","stubbing","StubberImpl","org.mockito.internal.stubbing.StubberImpl"
